CNIT	131	Internet Basics and Beginning HTML
CNIT	132	Intermediate HTML and CSS
CNIT	133	JavaScript, jQuery, AJAX
MATH	110A	Calculus I
MATH	110B	Calculus II
MATH	115	Discrete Mathematics
CS	270	Computer Architecture with Assembly Language
CS	110A	Intro to Programming: C++
CS	111A	Introduction to Programming: Java
CS	110B	Programming Fundamentals: C++
CS	111B	Programming Fundamentals: Java
CS	110C	Data Structures and Algorithms: C++
CS	111C	Data Structures and Algorithms: Java
CS	160A	Introduction to Unix/Linux
CS	150A	SQL Server Databases
CS	151A	Oracle SQL Databases
CS	155A	MySQL Databases
CS	130A	PHP Programming
CS	131A	Python Programming
CS	132A	Ruby Programming
CS	212	iPhone Programming
